artifact_id,case_id,agency,use_case_name,inventory_status,url,resolved_url,http_status,artifact_text_sha256,artifact_text_characters,retrievable,same_system,temporally_applicable,same_predicate,qualifying_mechanism,passage_anchor,strict_recovery,pass_agreement_all_fields,exact_passages
eb272cf3a63cff81,DHS-125,DHS,Investigative Prioritization Aggregator,S,https://www.dhs.gov/sites/default/files/2025-06/25_0618_priv_pia-ice-055-raven-appendix-update.pdf,https://www.dhs.gov/sites/default/files/2025-06/25_0618_priv_pia-ice-055-raven-appendix-update.pdf,200,0a5046412e8089740ba15199998174edf969474afa20a24aca9d86e04155dea6,171963,YES,UNCLEAR,YES,YES,UNCLEAR,UNCLEAR,0,0,“investigative tips or leads are subject to further investigation by HSI special agents prior to any concrete law enforcement action.” || RAVEn analytical products that result in investigative tips or leads are subject to further investigation by HSI special agents prior to any concrete law enforcement action.
3c473e92c1657539,DHS-2427,DHS,Translation and Transcription for Investigative Data,S,https://www.dhs.gov/sites/default/files/2025-06/25_0618_priv_pia-ice-055-raven-appendix-update.pdf,https://www.dhs.gov/sites/default/files/2025-06/25_0618_priv_pia-ice-055-raven-appendix-update.pdf,200,0a5046412e8089740ba15199998174edf969474afa20a24aca9d86e04155dea6,171963,YES,UNCLEAR,YES,UNCLEAR,NO,UNCLEAR,0,0,“The OCR tool does not analyze the information that it transfers to RAVEn.” || HSI agents and analysts receive training on the importance of verifying information from RAVEn before including it in any analytical report or using it as the basis for any formal law enforcement action
309fafd1b6d734e9,DHS-2511,DHS,AI-Assisted Audio/Video Redaction,S,https://www.dhs.gov/sites/default/files/2024-03/24_0307_priv_pia-ice-066a-pia-update.pdf,https://www.dhs.gov/sites/default/files/2024-03/24_0307_priv_pia-ice-066a-pia-update.pdf,200,8860873f1e0cf7771a3357e2c54f2bc1ac119d9aecda4ffc75655fedfaeb8b2d,94441,YES,YES,YES,NO,NO,NO,0,1,"""It will also include redaction technology for blurring individuals"" || It will also include redaction technology for blurring individuals who are not the subject of an inquiry and for redacting any other personally identifiable information incidentally captured within the video"
e2a993e6b7e054a2,DHS-2578,DHS,Enhanced Lead Identification and Targeting,U,https://www.dhs.gov/sites/default/files/publications/privacy-pia-ice-eid-may2019.pdf,https://www.dhs.gov/sites/default/files/publications/privacy-pia-ice-eid-may2019.pdf,200,8e5647aae1332d3149dacd58552400c49560b5072d2b71c8949e98060dc95336,46037,YES,NO,UNCLEAR,NO,NO,NO,0,0,"""This PIA update will: Discuss how ... EAGLE; Introduce ... EDDIE; and Introduce ... DAVID."" || This PIA update will: Discuss how the DHS Office of Biometric Identity Management (OBIM) uses the EID Arrest Graphical User Interface (EAGLE); Introduce the EAGLE DirecteD Identification Environment (EDDIE); and Introduce the Digital Application for Victim Witness Identification (DAVID)."
ea53ee6bd41fe4f2,DHS-407,DHS,Biometric Check-in for ATD-ISAP (SmartLINK),S,https://www.dhs.gov/sites/default/files/2023-08/privacy-pia-ice062-atd-august2023.pdf,https://www.dhs.gov/sites/default/files/2023-08/privacy-pia-ice062-atd-august2023.pdf,200,234324962aff17085cc84c418c3ad1c94d494efd0f55fe67d2828ea5eb465f8f,147181,YES,UNCLEAR,UNCLEAR,NO,NO,NO,0,1,"""Biometrics captured by the ICE ATD Case Managers used only for subsequent facial or voice verification required for monitoring and supervision-related check-in events."" || Biometrics captured by the ICE ATD Case Managers used only for subsequent facial or voice verification required for monitoring and supervision-related check-in events"
510312f3954f7395,DHS-14,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,S,https://www.dhs.gov/sites/default/files/2024-11/24_0930_priv_pia-dhs-uscis-cpms-060d.pdf,https://www.dhs.gov/sites/default/files/2024-11/24_0930_priv_pia-dhs-uscis-cpms-060d.pdf,200,d38d38d8a0e0c79029b74da625fcbf2cd40942cd50acd6c139a3d47451ead302,89778,YES,UNCLEAR,YES,NO,NO,NO,0,0,"""OBIM algorithm for biometric face verification"" || For both the fingerprint and facial verification services, OBIM uses algorithms to compare the submitted biometric"
7a4c9e7566bf1cd8,DHS-180,DHS,Automated Name and Date of Birth (DOB) Harvesting Service,S,https://www.dhs.gov/publication/dhsuscispia-056-uscis-electronic-immigration-system-uscis-elis,https://www.dhs.gov/publication/dhsuscispia-056-uscis-electronic-immigration-system-uscis-elis,200,571f03f046200e1239cae7ec4583012ddd2c19088a26b8f3f4ddd62f7e3056e2,6817,YES,NO,YES,NO,NO,NO,0,1,"""USCIS ELIS Photo Validation Tool"" || This Privacy Impact Assessment (PIA) update documents the implementation of the USCIS ELIS Photo Validation Tool."
da81393d09196252,DHS-189,DHS,ELIS Card Photo Validation Service,S,https://www.dhs.gov/publication/dhsuscispia-056-uscis-electronic-immigration-system-uscis-elis,https://www.dhs.gov/publication/dhsuscispia-056-uscis-electronic-immigration-system-uscis-elis,200,571f03f046200e1239cae7ec4583012ddd2c19088a26b8f3f4ddd62f7e3056e2,6817,YES,YES,YES,UNCLEAR,UNCLEAR,UNCLEAR,0,0,"""the Tool does not validate the applicant’s identity or any information about the applicant"" || The USCIS ELIS Photo Validation Tool uses points of interest within and around the human face to validate that the photo meets the business requirements to produce the Employment Authorization Document (EAD); the Tool does not validate the applicant’s identity or any information about the applicant."
c53594926d331714,DHS-56,DHS,Person-Centric Identity Services Information Compilation Check,S,https://www.dhs.gov/sites/default/files/2022-12/privacy-pia-uscis-pia087-pcis-december2022.pdf,https://www.dhs.gov/sites/default/files/2022-12/privacy-pia-uscis-pia087-pcis-december2022.pdf,200,ff71ae2f10c1cae2f026ff1551d9eb22aaaa74f5dd7b93f9f54172f3b6f43c2a,102815,YES,YES,UNCLEAR,UNCLEAR,NO,UNCLEAR,0,0,The identity profile presents a single data set of consistent information about an individual’s identity history as essential support for adjudicative efficiency.
4eeb49ba51fe66d5,MISSING-6FB970D7652E,HHS,Structuring and Validating Completeness of Case Data Information,U,https://www.hhs.gov/pia/index.html,nan,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,0,0,
f62cc54dc0dcdb83,MISSING-404BD6C1AE03,HHS,Structuring Notice of Concern Data,S,https://www.hhs.gov/pia/index.html,nan,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,0,0,
ccd7ccbee7fe5173,TREAS-94,TREAS,AI Contract Document Toolbox,D,https://www.irs.gov/pub/irs-pia/aicdt-pia.pdf,https://www.irs.gov/pub/irs-pia/aicdt-pia.pdf,200,4a9e9f3bc12a38c55b912e4a2e32013144734f570eafe602a1c2b7f941569d3a,17252,YES,YES,YES,YES,NO,UNCLEAR,0,0,Human review will be required for documents / language drafted by the system || contractor proposals may be uploaded so the AI can draft an evaluation of vendor strengths and weaknesses for review by IRS employees during the source selection process.
