id,status,template_id,missing_roles,missing_role_count,route
DOJ-0021,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0022,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0029,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0030,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0031,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0032,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0033,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0040,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0041,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0042,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0043,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0044,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0072,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0073,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0102,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0153,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0220,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0221,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0235,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0239,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0265,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0271,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0315,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0326,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0332,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0357-R01,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0357-R02,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0362,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
DOJ-0363,U,T-04dfa13cd155,O|W,2,supply and verify missing premises
MISSING-18A285367578,D,T-f49fc88319d0,W,1,answer objection with evidence
MISSING-2045216ACC4E,D,T-79fa6bfbdf44,W,1,answer objection with evidence
MISSING-404BD6C1AE03,S,T-739581454da2,,0,verify mechanism
MISSING-4B41CCE5A80E,U,T-1425969ae25c,P|W,2,supply and verify missing premises
MISSING-6FB970D7652E,U,T-7530fa9894b4,W,1,supply and verify missing premises
MISSING-7DF6162305FD,U,T-82676cbec526,P|O|W,3,supply and verify missing premises
MISSING-8A490802AE57,D,T-cd6ef69cc9cc,P|W,2,answer objection with evidence
MISSING-91EA622F8902,D,T-c8716646c61f,W,1,answer objection with evidence
MISSING-94D0D1898672,D,T-cd6ef69cc9cc,P|W,2,answer objection with evidence
MISSING-AB553836F519,D,T-4c341bf155e4,P|W,2,answer objection with evidence
MISSING-C38B75F17C3C,S,T-88c2703d4c0f,,0,verify mechanism
MISSING-E9650DD065E1,U,T-527ae4bd3d6a,W,1,supply and verify missing premises
MISSING-F55AC1E5A2AD,D,T-e32d814335cd,W,1,answer objection with evidence
NASA-234,U,T-79b6c7760b49,O|W,2,supply and verify missing premises
NASA-398,U,T-247d9ff961dd,W,1,supply and verify missing premises
NASA-487,U,T-f6d1903d8370,P|W,2,supply and verify missing premises
TBD-R01,U,T-2ca831780599,O|W,2,supply and verify missing premises
TBD-R02,U,T-2ca831780599,O|W,2,supply and verify missing premises
TREAS-94,D,T-e2b1ee3e9028,W,1,answer objection with evidence
TREAS-IRS-75,U,T-12ed683e528f,O|W,2,supply and verify missing premises
TREAS-IRS-9,D,T-8e7ddb102390,W,1,answer objection with evidence
USDA-048,S,T-c961f5774051,,0,verify mechanism
USDA-175,D,T-bf30867b6bf4,P|W,2,answer objection with evidence
