id,agency,use_case_name,status,minimum_support_repair_size,minimum_support_repair,repair_route,predicate_visible,output_workflow_visible,mechanism_visible,human_review_load_bearing,status_agreement_n
DOJ-0235,DOJ,Aware,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0239,DOJ,Thomson Reuters CLEAR,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0265,DOJ,Public Comment Analysis,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0271,DOJ,Pega GenAI,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0315,DOJ,Civil Rights Public Reporting Portal,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0326,DOJ,AWS Textract,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0332,DOJ,ATR Expert/Consulting with Bates White,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0357-R01,DOJ,Creating and Maintaining IT Security Packages for Authorizations,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0357-R02,DOJ,Creating and Maintaining IT Security Packages for Authorizations,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0362,DOJ,Analyzing Prescription Monitoring Program Data,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
DOJ-0363,DOJ,Analyze Financial Reports to Identify Linkages Across Investigations,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
46,EPA,Briefcam,U,3,policy predicate | output/workflow role | qualifying mechanism,supply missing public roles,False,False,False,False,5
MISSING-6FB970D7652E,HHS,Structuring and Validating Completeness of Case Data Information,U,1,qualifying mechanism,supply missing public roles,True,True,False,False,4
MISSING-404BD6C1AE03,HHS,Structuring Notice of Concern Data,S,0,none,verify named mechanism,True,True,True,False,4
MISSING-2045216ACC4E,HHS,Enhanced Direct Enrollment Outlier Detection,D,1,qualifying mechanism,answer defeater and disclose mechanism,True,True,False,True,4
MISSING-F55AC1E5A2AD,HHS,Agent/Broker Fraud Analysis (ABCQI),D,1,qualifying mechanism,answer defeater and disclose mechanism,True,True,False,True,5
MISSING-7DF6162305FD,HHS,CDER Regulatory Science Research (RSR) Projects AI for Process Control in Advanced Manufacturing,U,3,policy predicate | output/workflow role | qualifying mechanism,supply missing public roles,False,False,False,False,5
MISSING-E9650DD065E1,HHS,Developing an Objective and Quantitative Endpoint for Atopic Dermatitis in Pediatric and Adult Populations,U,1,qualifying mechanism,supply missing public roles,True,True,False,False,4
MISSING-18A285367578,HHS,FOIA REDACTION (FRED) TOOL,D,1,qualifying mechanism,answer defeater and disclose mechanism,True,True,False,True,5
MISSING-AB553836F519,HHS,AI-Powered Video Analytics for Law Enforcement,D,2,policy predicate | qualifying mechanism,answer defeater and disclose mechanism,False,True,False,True,5
MISSING-4B41CCE5A80E,HHS,Computer Vision to translate and mine Product Labeling photos to analyze labeling for potential violations,U,2,policy predicate | qualifying mechanism,supply missing public roles,False,True,False,False,5
MISSING-94D0D1898672,HHS,NICHD RPAB AI/ML NICHD Relevance Model,D,2,policy predicate | qualifying mechanism,answer defeater and disclose mechanism,False,True,False,True,5
MISSING-91EA622F8902,HHS,Internal Referral Module (IRM),D,1,qualifying mechanism,answer defeater and disclose mechanism,True,True,False,True,4
MISSING-8A490802AE57,HHS,NICHD RPAB AI/ML Application Referral System,D,2,policy predicate | qualifying mechanism,answer defeater and disclose mechanism,False,True,False,True,5
MISSING-C38B75F17C3C,HHS,NLP Automated Referral,S,0,none,verify named mechanism,True,True,True,True,5
NASA-234,NASA,MLNav (Machine Learning Navigation),U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
NASA-398,NASA,Autonomous WAiting Room Evaluation (AWARE),U,1,qualifying mechanism,supply missing public roles,True,True,False,False,5
NASA-487,NASA,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",U,2,policy predicate | qualifying mechanism,supply missing public roles,False,True,False,True,3
TBD-R01,STB,Copilot for Appian,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
TBD-R02,STB,RelativityOne,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
TREAS-94,TREAS,AI Contract Document Toolbox,D,1,qualifying mechanism,answer defeater and disclose mechanism,True,True,False,True,5
TREAS-IRS-75,TREAS,Procurement Research,U,2,output/workflow role | qualifying mechanism,supply missing public roles,True,False,False,False,5
TREAS-IRS-9,TREAS,Vendor Risk Analytics,D,1,qualifying mechanism,answer defeater and disclose mechanism,True,True,False,True,5
USDA-048,USDA,Dam Inspection Report Document Processing,S,0,none,verify named mechanism,True,True,True,True,5
USDA-175,USDA,AI for Environmental Permitting Review,D,2,policy predicate | qualifying mechanism,answer defeater and disclose mechanism,False,True,False,True,5
