model,template_id,original_vector,original_status,whitespace_vector,whitespace_status,human_review_vector,human_review_status,multiple_sources_vector,multiple_sources_status,independent_basis_vector,independent_basis_status,reasons
gpt-5.4-mini-2026-03-17,T-00202881d718,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change;human_created_W;human_created_S;multiple_sources_created_W
gpt-5.4-mini-2026-03-17,T-037d2edc22d0,YES/YES/YES/YES/NO/NO,S,YES/YES/NO/YES/YES/NO,S,YES/YES/NO/YES/YES/YES,S,YES/YES/YES/YES/YES/NO,S,YES/YES/YES/YES/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-07c5553a903f,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/YES/YES/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-12ed683e528f,YES/YES/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,UNCLEAR/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-22212d16035b,NO/UNCLEAR/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,UNCLEAR/UNCLEAR/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/UNCLEAR/YES/UNCLEAR/NO/NO,U,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-2ca831780599,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-3e19adf323a0,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/NO/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-3e441efceab0,NO/YES/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/NO,U,UNCLEAR/UNCLEAR/YES/NO/NO/NO,U,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-3e96a1b29c22,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,whitespace_vector_change;human_created_W;human_created_S;multiple_sources_created_W
gpt-5.4-mini-2026-03-17,T-41cbe51c871e,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/YES/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-46c1e0453ae6,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change;human_created_W;human_created_S;multiple_sources_created_W
gpt-5.4-mini-2026-03-17,T-4ae31d537142,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-4c341bf155e4,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/UNCLEAR/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-61f1972a9861,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change;human_created_W;human_created_S;multiple_sources_created_W
gpt-5.4-mini-2026-03-17,T-6e05e26a6734,NO/YES/NO/YES/NO/NO,U,NO/NO/NO/YES/NO/NO,U,NO/YES/NO/YES/NO/YES,U,NO/UNCLEAR/NO/YES/NO/NO,U,YES/YES/YES/YES/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-70e1806a4255,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-79b6c7760b49,YES/UNCLEAR/NO/NO/NO/NO,U,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/YES/NO/NO/NO,U,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-7c48cabab497,YES/YES/NO/NO/UNCLEAR/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-7e7a9b400b1b,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/YES/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-88c2703d4c0f,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/NO,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-8c725571ab27,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S,multiple_sources_created_W
gpt-5.4-mini-2026-03-17,T-9224d600b843,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/NO/UNCLEAR/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-93d9abe92b75,NO/NO/NO/NO/NO/NO,U,UNCLEAR/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/NO/NO/NO/NO/NO,U,UNCLEAR/NO/YES/NO/NO/NO,U,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-9d5c322cd3a3,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-a3d7df36b0ea,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-b99b7f9db3af,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/UNCLEAR/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-c60868e1c03a,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-c8716646c61f,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S,multiple_sources_created_W
gpt-5.4-mini-2026-03-17,T-e12f01074a7f,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-e2b1ee3e9028,NO/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-e32d814335cd,YES/YES/UNCLEAR/NO/UNCLEAR/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-f49fc88319d0,YES/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-f59a322b4b96,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,whitespace_vector_change
gpt-5.4-mini-2026-03-17,T-f6d1903d8370,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/UNCLEAR/NO,U,NO/YES/NO/NO/NO/YES,D,UNCLEAR/YES/NO/NO/UNCLEAR/YES,D,NO/YES/YES/NO/YES/NO,U,whitespace_vector_change
